Sentiment,Text
Negative,"Finally got my second dose of #Pfizer vaccine today. Took a day off from work & now taking things easy as I’m expecting the worst side effects. My arm is also more painful than the first one so if this persists, I won’t be playing & streaming today. #StaySafeStayHealthy"
Positive,"Got my first dose ,???? #Pfizer #vaccine https://t.co/OlqjyVfnqF"
Positive,Fully vaccinated #Pfizer
Positive,"Done with my first jab ?? Got vaccinated! check?
#Pfizer https://t.co/8M9r1piL3B"
Positive,I got my first dose vaccine today.?? #Pfizer
Positive,Fully Vaccinated check #Pfizer #FullyVaccinated
Positive,Second dose of #Pfizer https://t.co/aiOiPFpXie
Positive,"My second dose Vaccination heart??
#pfizer
#bakuna https://t.co/8Y78S6KarT"
Positive,"Full Vaxx ??

#Pfizer https://t.co/j8lNjFvhM5"
Positive,"2 dose check!
#pfizer"
Positive,first dose done #Pfizer ??
Positive,Get vaccinated ?? #Pfizer #vaccine  heart https://t.co/BedNzG5Gyg
Positive,"Fully Vaccinated heart 
#Pfizer"
Positive,"Fully vaccinated heart??

#Pfizer #CebuCity https://t.co/ftZSakB69S"
Positive,Got my first dose of vaccine. ?? #pfizer yarn ??
Positive,I got my jab. Get vaccinated and saved lives. #vaccinated #VaccinesWork #Pfizer #GetVaccinated
Negative,Wow. #Pfizer = pure evil https://t.co/sDY621SwWS
Positive,"THANKS G ! ????
#FullyVaccinated 
#Pfizer https://t.co/xJOxQXnMsT"
Positive,got my first dose of vaccine ??  #Pfizer
Positive,Yay fully vaccinated na! ?? #Pfizer
Positive,second dose check #pfizer??
Positive,"Fully vaccinated??

#Pfizer"
Positive,"first dose done ??

#vaccinationdonecheck? #pfizer https://t.co/z8RU74J1pS"
Positive,check fully vaccinated #Pfizer
Positive,second dose DONE. #pfizer
Positive,Heading out in a few to get my second dose of #Pfizer vaccine. heart??
Positive,"Just woke up to a slight fever
It has been 12 hours since my second #Pfizer COVID vaccine dose and I haven't had any side effects besides a slightly sore arm that was nowhere near as bad as the first shot until I dozed off. Still much more preferable to infection #VaccinesWork"
Positive,2 dose check ??check #Pfizer
Positive,"I got vaccinated??heart fully!
#Pfizer https://t.co/OFLPt3apMG"
Positive,Fully vaccinated!!???? #Pfizer
Positive,"Fully vaccinated heart

Taga Imus yarn???
#Pfizer https://t.co/ARQeM7KosC"
Positive,Got my first dose???? #Pfizer https://t.co/KgIiqRrXE0
Positive,finally got it ???? #Vaccinated #Pfizer https://t.co/LbHpDOdGSS
Positive,first dose done.. ?? #Pfizer.. https://t.co/E6IlPPQloE
Positive,"Second dose check
#Pfizer team https://t.co/T9spaxsO5q"
Positive,"Good morning! Vaccination Day 
#Pfizer"
Positive,Vaccinated na rin ?? #Pfizer
Positive,"It's vaccination day! ??heart
#secondDose #Pfizer"
Positive,"second Dose ??
Fully Vaccinated ??
#PfizerBiontech https://t.co/w6yiymuUF0"
Positive,"second dose, done!????
#PfizerBioNTech"
Positive,"Second dose done ??check?
#fullyvaccinated
#PfizerBioNTech https://t.co/OwlCMpRh4H"
Positive,fully vaccinated ?? #PfizerBioNTech
Positive,"Yay! Fully Vaccinated!

#PfizerBiontech"
Negative,Grabe second dose ng #Pfizer sakin ilang oras palang dama ko na agad ang side effects huehue bigat na agad braso ko mama??
Positive,"first dose of vaccineheart
#Pfizer  laban covid.para balik na ang dating mundo??heart???? https://t.co/9oliO2xz47"
Positive,"ang bigat ng braso pero Thank You, Lord! #FullyVaccinated #Pfizer"
Negative,Bigat mo sa braso #Pfizer #firstDose
Positive,"????? Knockout sa second jab!??heart Kamuntik ko na ma perfect score ang mga adverse effect. ?? ??

?? Getting well dude! ???? #PfizerBioNTech #Pfizer https://t.co/9IHO1yAFBW"
Negative,Daw gibugbog braso ko. Inject lang gani yun. Hahahaha! #Pfizer
Negative,parang sinuntok braso ko ah. hahhaa. #Pfizer??
Negative,JUSKOOOO SABAY SABAY LAHAT second DOSE PA #FullyVaccinated #Pfizer ??????
Positive,"thank you Lord first dose done.
Magpabakuna para lahat protektado.
#Pfizer https://t.co/dEiD04EFd9"
Negative,"sobrang bigat sa pakiramdam ng second dose sakit sa katawan para akong binugbog at nilalagnat??
#Pfizer #Pfizervaccine #PfizerBiontech"
Positive,Grateful doesn’t even begin to cover it. #Vaccinated #ThankYouScience #Pfizer https://t.co/9IMZT6mnph
Positive,#Pfizer second dose done ???? https://t.co/nQpXJw6At4
Positive,"Fully Vaccinated check??
#Pfizer"
Positive,"I have been #vaccinated with #Pfizer, now I feel more sure"
Positive,"Got my first dose.

#Pfizer 
#GetVaccinated"
Positive,"so yeah, it's confirmed. i'm getting vaccinated on monday. ??

#StaySafe 
#GetVaccinated
#Pfizer https://t.co/hEPHP6Mh1g"
Positive,fully vaccinated ??heart #Pfizer
Positive,"First Dose Done

 pfizer 

#Pfizer"
Positive,FIRST DOSE. heart?? #Pfizer
Positive,Yaaas! Fully vaxx?? #pfizer https://t.co/zVTS2Bc926
Positive,"I'M FULLY VACCINATED. 

#Pfizer https://t.co/ospsuvchHt"
Positive,"FULLY VAXED!!??heart

#pfizer https://t.co/Cpz5BCU0Dh"
Positive,"check fully vaxxed ????
#Pfizer #vaccinated https://t.co/WcTllqmOeS"
Positive,Fully vaccinated at last! heart?? #Pfizer https://t.co/15VpKHWwFq
Positive,"I just got vaccinated heart #Pfizer  BTW Good morning guys heartheart

-??"
Positive,"?? Got fully vaccinated yesterday! ?? #pfizer (at Kabankalan, Negros Occidental) https://t.co/BZUOyfihIG https://t.co/HxjlIPLzGk"
Positive,Will get my second dose next week. ???? #Pfizer #GetVaccinatedNow https://t.co/0haIxHxfqS
Positive,"my kuya got his first dose 

#covidvaccineforchildren 
#Pfizer https://t.co/zYABtZ7t81"
Positive,"Fully Vaccinated Yaas!
#Covid19 #Vaccinated #Pfizer"
Positive,"2° dose checkcheck
#Pfizer"
Positive,fully vaccinated! #Pfizer
Positive,"got my first dose
#Pfizer https://t.co/GxGkyghRf2"
Positive,Fully vaccinated!???? #Pfizer https://t.co/RJD2X9iqwJ
Positive,"I got my first dose of the Vaccine
#Pfizer
#GetVaccinated ??heart"
Positive,"Finally  Done???? 
#FullyVaccinated 
#Pfizer"
Positive,"Second dose ??
#Pfizer https://t.co/vHMkDDZuU2"
Positive,yay fully vaccinated na ???? #Pfizer
Positive,I got my second shot today. Finally fully vaccinated! #Pfizer
Positive,"first dose done??
#Pfizer #PfizerGang https://t.co/8MaRssu72O"
Positive,I’m fully vaccinated heart?? #Pfizer
Positive,"Vaccinate the kids!

#Pfizer #kids #vaccine #VaccinesWork"
Negative,Anyone with weeks long fatigue after #Pfizer?
Positive,first dose done! #vaccinated #Pfizer ??????heart https://t.co/27NZsMFwv3
Positive,"second dose completed! ??#IAmFullyVaccinated
#Pfizer"
Positive,"Yehey at last !
Fully vaxxed heart?? thankyou Lord!
#Pfizer https://t.co/JxvuEMFoMO"
Positive,"I'm fully vaccinated!??
#PfizerBioNTech"
Positive,"Good morning lapu-lapu city tara magpabakuna tayoheart #pfizervaccine
#IMMANLALAYAG #SMILE #WESTANDWITHPURPOSE
#RESBAKUNA https://t.co/Ecg29NB1P7"
Positive,Thank you DFA -HRMO mabuhay po kayo! Done their First Dose #pfizer God Bless u Both mga Anakheart https://t.co/sHektYiTlq
Negative,joke lang ang bigat na ng kamay k ngayon #pfizer #vaccinated #pahguhd https://t.co/mmjRdkZMAO
Negative,ang init sa katawan ng #pfizer or hot lang talaga ako sadya.
Negative,"Taenes ay 1 week ng pabalik balik ang lagnat. Tama naman nat ng makatarbaho, wala ng pera e. Kaenaman kana #pfizer"
Negative,"Inannggg, lalo nang sumakit amg braso ko?? di mo ako pinatulog ng ayos??
#pfizer"
Negative,Kala ko di na lalagnatin??#pfizer
Negative,Malapit na second dose makikita kona talaga si lord neto HAHAHA #pfizer
Negative,"Sakit kaayo akung bukton! Pa vaccine pamore, 2 years ma zombie nadaw ko??
#Pfizer #fulzombienated"
Negative,Simula na vaccine ako palagi na masakit ulo ko ?? #pfizer
Positive,Hayssst salamat at nakuha ko na first dose ko. #Pfizer
Positive,"Sakit ng braso ko. But thank God eto lang naramdaman ko.
#Pfizer"
Negative,bat bigla naman dumale si #Pfizer sa braso
Negative,nagdagsen takyag ko ?? #pfizer
Negative,Piyong kay hapdos ?? Fully vaxx na yarn? #Pfizer https://t.co/Ep3DsSTgjx
Negative,Nagmamanhid yung braso ko sad #Pfizer
Positive,First dose ng baby boy ko kahapon. #Pfizer https://t.co/uTX8QgoWBu
Positive,"Full vaccinated na mamaya ??
#pfizer"
Negative,Naepekto na ata yung pang second dose ko na vaccine #Pfizer ramdam ko na
Positive,"Turok done @Aleyssaaaa HAHAHAHA
#Pfizer"
Positive,"When ""ayaw ko"" turns into ""kailangan ko"" ????
#FirstDose
#Pfizer https://t.co/sBrSWbB1Nf"
Positive,"First dose, DONE check??????
#GetVaccinated #Resbakuna #Pfizer https://t.co/3CkB2YtJKa"
Positive,Fully vaccinated! ?? #pfizer #Resbakuna https://t.co/CmcC8zfOfo
Positive,"I got my vaccine yesterday
Pfizer
#RESBAKUNA"
Positive,"first Dose Done. 

#GetVaccinated #Pfizer #Resbakuna"
Positive,"Got my second dose today, finally I'm fully vaccinated. ??
And I'm so ready to travel again, joke ??

Thank You, LGU and RHU IBAJAY! heart
#PfizerCOVID19Vacccine
#Pfizer https://t.co/F41TZ3DiHW"
Positive,Yehey! I just got my first dose of the Pfizer vaccine against COVID-19! I am so happy! #vaccinated #Pfizer
Negative,Never taking that #Pfizer poison ... https://t.co/9bUiauYNL3
Positive,"RT @mburgosmd: First dose check 

They were so excited! 
#vaccinated #Pfizer #COVIDVaccineKids https://t.co/H11psnWwaB"
Positive,My girl got her first dose of Covid vaccine today. My heart is full. ?? #vaccine #COVID19 #Pfizer
Negative,Anyone else had the pfizer vaccine recently and feel extremely hot and sick ? #Pfizer #vaccine
Positive,"Got my vaccine. ??
#secondDose #PfizerBioNTech #FULLYvaccinated ?? https://t.co/Gi1QrrQvzu"
Positive,"second dose done! Yeeey! I’m fully Vaccinated! heart
#PfizerBioNTech #CovidVaccine https://t.co/y2jIREcMn1"
Positive,"FULLY VACCINATED 
& you should too!
#PfizerBioNTech https://t.co/Ify5CnJo5I"
Positive,Fully vaccinated ?? #PfizerBiontech #PfizerPapi https://t.co/z7s8oY08DR https://t.co/KGvHc6DKvF
Positive,Beyond thrilled that my sweetness has now gotten her first dose of #PfizerBiontech! She’s such a brave girl ?????? https://t.co/VEWPNAGQ8W
Negative,Grabeee yung epekto. ?? Lagnat agad ?? #seconddose #Pfizer ??
Negative,"Just got vaccinated?? sana di ako mamatay sa side effects chour, di naman masakit e parang kagat lang ng dinosaur hehe joke??
#vaccinated #Pfizer 
di pako pwedeng mamatay kikitain ko pa ang aking mga lodicakes??"
Positive,"Balewala sakin ang mainitan, maghintay ng matagal at pumila ng napakahaba. Ang importante mapavaccinan kita. . 

Isa ring fighter ang junakis ko.
#pfizer https://t.co/VEljJmWI5C"
Negative,"Fully vaxx na ko, pero hilong-hilo naman ako. I feel Weak and Tired. #PFizer"
Negative,"Sakit kaayo akung bukton! Pa vaccine pamore, 2 years ma zombie nadaw ko??
#Pfizer #fulzombienated"
Positive,"ResBakuna Kasangga ng Bida
#seconddosedone ??
#PfizerBioNTech ??
#Godisgoodallthetime ??
#AllanEscabusa ??
??????https://t.co/8xvjtqTTkS https://t.co/jnWDASsE9U"
Positive,"This Girl is on Pfizer !!!
woot Got Boosted, ngalay is real hindi tulad sa Sinovac dati na wala lang, sana wala ng iba pang maging adverse ???? 
thank you #iLoveTaguig for being 1 of the first cities to give booster for #A1Frontliners #RoadToZero #GetVaccinated #ResBakuna #Pfizered https://t.co/g62UeKlqzU"
Positive,Finally decided to get #vaccinated #Pfizer #CovidVaccine #RESBAKUNA ?? https://t.co/zNHmlyQ2fo
Positive,"First dose of pfizer? check! check
#vaccinated #RESBAKUNA https://t.co/hEpiSMpfiX"
Positive,"First dose, Donecheck

#Pfizer 
#ResBakuna https://t.co/zFXRKXxChe"
Positive,"Yesterday, my son got his first shot of #pfizer ???? vacineee. WOOHOO! https://t.co/Yv3WCsccJf"
Positive,"Fully Vaccinated na ako!
Magpabakuna na lahat, Para lahat protektado !
#Resbakuna #Pfizer https://t.co/fI7UlLwBAR"
Positive,"Bakuna ay masakit, ngunit mas masakit magkasakit. 

Kayaaa, ano pang hinihintay mo? Magpa-RESBAKUNA na! 

#firstdosedone?? 
#pfizer??
https://t.co/NCkZh7cwAp"
Negative,"Bakit ganun, after ng vaccine ko, palage akong antok as in. Feeling ko pinainom ako ng gamot na mataas ang dosage. #Pfizer ??"
Negative,Sakit ng braso ko  #Pfizer
Negative,Mula nung nagpa vaccine ako naging sakitin nako #Pfizer
Negative,Grabe side effect ng pfizer nung afterako magpavaxx sumakit lang ulo ko nov12 'yon tas now nov18 ubo at sipon pati lagnat at tumitibok na ugat sa ulo ko yung nafeel ko grabe mih parang ipapaready ko na st.peter CHARIZ keri yarn mih #GetVaccinatedNow #Pfizer
Negative,"Natulugan ko sya, sakit ng kamay ko dahil sa vaccinee! #pfizer"
Positive,BESTAYYYYY first DOSE DONE!!! PA BAKUNA NA KAYOOO ???? NAKAHINGA NARIN KAHIT PAPANO ahfhsnfjma #firstDoseDone #Pfizer #Astrodome
Positive,"Fully vaccinated yesterday. Buti na lang di gaano kasakit sa balikat ngayon unlike nung first dose happy
#pfizer"
Negative,"sakit ng braso ko??
#VaccineSideEffects
#Pfizer"
Positive,"finally, got my booster dose! ?? nakapag #Pfizer din kahit booster lang. ?? https://t.co/8H1b7VlwYN"
Negative,"grabe side effects ng second dose, tipong mas masakit pa nung iniwan ka niya
#pfizer
#qcprotektado
#seconddose

HAHAHAHHA jkk"
Negative,Kastress yung booster ambigat sa braso ???????? #RESBAKUNA #pfizer #boostershot
Negative,"Sobrang bigat pa din ng braso, almost 24hrs has passed #CovidVaccineBooster #pfizer https://t.co/MflNTo64WC"
Negative,Anyone else had AZ for first and second jab then pfizer for booster and constantly feeling sick? #AstraZeneca #Pfizer #COVID19
Positive,Got my Pfizer booster dose #Resbakuna https://t.co/mfUHWgdSMZ
Positive,Fully Vaccinated na. Yayyyy! ?? #pfizerbiontech ??heart @ Gamu Municipal Hall https://t.co/wc3DzdomYu
Negative,"Post vaccine I'm not felling well, but I'm fine #vaccine #postvaccinated #PfizerBiontech #vacuna #notfellingwell https://t.co/L92zTBeJH9"
Positive,Extremely thankful today because my 6 year old received his second vaccination shot. #Pfizer #vaccination #COVIDVaccineKids
Positive,"#BIDABakunation second dose of #Sinovac   #FullyVaccinated  #getvaccinatedtobeprotected 
???????? https://t.co/k7fD2GWoDZ"
Positive,WE GOT OURS #f????v????????? #sinovac?? https://t.co/f4NsSPoccS
Positive,"don't doubt, just do it.
#Sinovac #FirstDose #Vaccinated https://t.co/wbMfHHJuBy"
Positive,#Sinovac works https://t.co/XarewrRtKG
Positive,got my first jab of #Sinovac https://t.co/dOgGNMpYpZ
Positive,"Second dose done!
#RESBAKUNA #Sinovac https://t.co/OeqmCITW3u"
Positive,Got my First dose #Sinovac
Positive,"first Dose done! ??
Finally! ??

#RESBAKUNA"
Positive,"Registered: 10202021
#FirstDose of #Pfizer : 10262021

Thank you, #Marikina ??
P.S.  salamat din sa treats ??

#Covid19VaccinePH  #Grateful #MyTeenageBoy #RESBAKuna #BakunaProtektado https://t.co/suiML5a0Wz"
Positive,First vaccine done! #Resbakuna #Bakuna https://t.co/XOwXhkZCfJ
Positive,"Fully Vaccinated! ??
#Resbakuna #GetVaccinated #Sinovac https://t.co/RsEpHJ9IVC"
Positive,"stynzian #Sinovac lang ang sakalam. Hahaha

Effective ata masyado skin, ayaw pa tablan, lol, wag naman sana."
Positive,"Finally natuloy din
#Sinovac https://t.co/TEt2Dxw6fq"
Positive,Kahit naka two jabs ka na ng #Sinovac parang di ka pa rin nabakunahan. Kaso hindi aaminin ng mga kinabubukulan iyan. Kaya ngayon may booster shot na ang mga Si No Vac - #Moderna ang binibigay. Ang suma tutal niyan ay nabakunahan sila ng 1 jab lang ng Moderna. Kulang pa rin. Sablay.
Positive,"Why ganown! Sabi ng isang mommy kahapon, di siya asymptomatic pero nag Positive siya! ???? Ogieeeeee... 
Pero di kasi siya Vaccinated.
Buti fully vax ako #GoGetVaccinated #Sinovac"
Positive,"Got my first dose ?? 

#RESBAKUNA
#Sinovac"
Positive,"Just got vaccinated for my first dose ?? 

#TeamSinovac #vaccinated #Sinovac https://t.co/Z9J7WfyOME"
Positive,I got my first dose of SINOVAC ??heart #Vaccinated #Sinovac
Negative,"Wrong move. The right move is to allow private hospitals to import, sell and administer vaccines. Bakit minomonopolya ang bakuna? Para ang kalahati ng makapasok ay #Sinovac? ?????? DOHgovph FDAPhilippines HouseofRepsPH senatePH https://t.co/wVXRwiFNIu"
Positive,"oy nagkawala na ang mga case dri sa Digos padayonon nato ni
#Sinovac ????"
Negative,Ang totoong nabakunahan sa Pinas mga 10% palang. Ang #Sinovac not counted. https://t.co/PLwFNiC6nE
Negative,iamMADolar msderossi Me too though nawalan din ako ng panlasa.?? But still very mild lang ang symptoms.  #Sinovac
Positive,"Got my second dose of SINOVAC todaaay! Fully vaccinated, yay! So far, okay naman ’yong una. Okay pa rin din today. :> Pabakuna na rin po kayooo.
#resbakuna #COVID19"
Positive,got my first dose of Covid Vaccine tonight. #Sinovac
Positive,", Fully Vaccinated #Sinovac https://t.co/QAHEDw7yUu"
Positive,second dose done! #sinovac
Positive,"Done my First Dose.

#Sinovac https://t.co/3aR1B5JjWA"
Positive,second and final dose heart #Sinovac https://t.co/8aDYLBt8S6
Positive,"Fully vaccinated ????

#fullyvaxxed #sinovac??  Robinson's Galleria Cebu https://t.co/v7QyLH9U4F"
Positive,Done check #vaccinated #sinovac ????
Positive,"I'm so happy fully vaccinated na ..yihieeeeee ??

#Resbakuna 
#Fullyvaccinated 
#Sinovac https://t.co/ZZUGqUy4TM"
Negative,Sana ganun din sa BAKUNA...HINDI MANDATORY ang #Sinovac...#COVID19 #COVID19PH https://t.co/rmKcOKAYBV
Negative,"Gapangluya ko

#bakuna
#sinovac"
Positive,"First Dose Done heart
Thankyou  ate  reginevalcasid
sa paghikayat na magpavaccine  
#Sinovac https://t.co/dmtihy7b3C"
Positive,Fully vaccinated. ?? #Sinovac #RESBAKUNA https://t.co/XtUpxfkqOe
Positive,Siyempre #Sinovac pinili ko.?? Ang pinipili ng mapiling ina. Emsz! #BoosterShot ?????????????? https://t.co/syRV5Jp1QL
Positive,"Yung ang tagal mong inantay... tas ngayon nangyari na... 
#salamatpoPapaJesus??????heartheartheartheart
#sinovac
#FullyVaccinated 
#letsfightCOVID19?????? https://t.co/kMtMpoZlDf"
Positive,"Magpavaccine narin kayo??
#Sinovac #vaccine https://t.co/0FsSkgJfeE"
Positive,"Finally natapos na
#seconddose 
#sinovac https://t.co/umgMG2ZS7s"
Positive,"Pinakamainam kaya itong Sinovac dahil gawa sa ""tried and tested"" na parang sa paggawa ng bakuna. Too bad this is not known by a lot of people. This is my preferred vaccine! ??????? #Sinovac https://t.co/scQhERkuCy"
Positive,"Got out first dose of COVID Vaccine 
#Resbakuna #moderna @ Robinsons Place Santiago https://t.co/qraP5cwZjz"
Positive,"First dose is done check
#resbakuna"
Positive,"Done first dose! ????

#resbakuna 
#vaccine #Moderna 
#firstdose https://t.co/UOvnRESBTG"
Positive,"Yehey! may 1st dose nadin ako ??
#Moderna #vaccinated https://t.co/hA146FdJlZ"
Negative,"I feel sick today....ganun ba talaga side effect ng Vaccine?

#Moderna"
Negative,"utas sa sama ng pakiramdam
#Moderna"
Negative,Nde na mabilang kung ilan ang sakit na naramdaman ko.. pero potek grabe to! #COVID19VaccinePH #moderna #awtsyern
Negative,So yun ang sakit na naman ng katawan at lagnat feels na naman. #2ndDose #Moderna
Negative,"Normal lang ba na mainit ang ulo kapag tinurukan ng Moderna? Putcha kanina pa ako galit eh
#Moderna"
Positive,"Received my first dosage of Moderna on Friday. Ended up feeling a little sore & achy late Friday night & early yesterday morning. Took some ibuprofen & feeling fine today. Ready for my 2nd dosage next month. #Moderna 
#IGotThis"
Positive,Fully vaxx. #Moderna #COVID https://t.co/KniXmXKbZZ
Positive,Update: I can get my second dose today ^^ #Moderna
Positive,Fully vaccinated ???? #Moderna #SecondDose #RESBAKUNA #POTD https://t.co/MnfyHTPIj2
Positive,Vaccinated 1st dose #Moderna ??
Positive,"First dose. 
#Moderna"
Negative,Update 1: began to feel a bit achy and headache a few hours later. Arm sore. Expecting to feel a bit crap tomorrow. No worries. #Moderna #FluShot #GetVaccinated
Positive,"Dose 1 finally.?? Good job my guy.????•
•
•
•
•
#letsgetvaxxed #????????????ay #firstdosedone??check #moderna @ Solaire Theater https://t.co/Qu64inr5AK"
Negative,sakit ng ulo kooooo #secondjab #moderna
Negative,"Shet ang bigat ng braso ko nahihilo din ako!!!
#vaccinated
#Moderna"
Negative,"Ganito po ba pag #Moderna:
- konting kirot sa throat
- panghihina
(meron ring pain sa injected arm)"
Negative,"Sakit lang ng braso (hopefully)
#moderna"
Negative,"Pero wag ulit manginginig ang katawan sa madaling araw AHAHAHAHAHA

#moderna ang win"
Negative,"So the #AstraZeneca vaccine made me tired and achy , the #Moderna booster has made me feel like I've drunk a flask full of coffee and I've turned in to a human fireball. Luckily I've got today off. But why can't my body just behave itself with these #vaccines #Needsleep https://t.co/qcdfVaQmqZ"
Positive,got my first dose today?#moderna
Negative,Bigat sa pakiramdam ng 2nd dose. #Moderna
Negative,'di sumakit braso pero nilagnat. ?? 2nd dose done. #Moderna
Negative,"after 3 years, ngayon lang ulit na feel na nilagnat.?? #Moderna"
Negative,"Fully Vaccinated
#moderna

Side effect
1. Posibleng magkalagnat
2. Makirot ang brasong pinagbakunahan
3. Masakit ang ulo
4. Gusto laging matulog
5. Gusto ng Frappe
6. Gusto ng burger at fries ????
7. Gusto ng Milktea??
8. Gusto ng sushi??????
9.Gusto ng samgy ??????"
Negative,"Body sore pa! Ganito pala kapag bagong turok.
#Moderna"
Negative,"Normal lang na ba 2 araw ako nilagnat after having my second dose of vaccine (moderna)? And is it normal na masakit pa din ang braso ko hanggang ngayon? I hot my vaccine last Thursday btw..

#Moderna"
Negative,"Akala ko di ako tatablan, Akala ko lang pala yun ?????????????????? #Moderna https://t.co/RR102zJkHR"
Negative,Bigat mo sa braso #moderna
Negative,bigat ng braso ko and may fever me kalerks #Moderna
Positive,"Vaccinated na hahaha
#moderna https://t.co/oMpqoC7tyK"
Negative,Weird na naman tong pakiramdam ko ah #moderna
