Sentiment,Text,
1,Got my jab #GetVaccinated #Pfizer,
1,"Finally I got my second dose vaccination!!??

#Pfizer #GetVaccinated 
#COVIDVaccination https://t.co/8CI9FBFCgD",
1,"Finally! Im done with my second dose of vaccine.

#pfizer. https://t.co/6D8ZfX4PKE",
1,Got my first dose of vaccine.??#pfizer,
1,"FULLY VACCINATED 
second DOSE DONE??
#FullyVaccinated 
#Pfizer https://t.co/N4913ogYYk",
1,Got my first shot of #Pfizer today!,
1,Bring it! Let�s wrap this up!!! #COVID #Pfizer https://t.co/lRUyYRHOgY,
1,"Got my first vaccine ????
#Pfizer #GetVaccinated https://t.co/o7g3zoOwR1",
0,Undesired side effects brought to you by #pfizer https://t.co/M4vCOV0g3A,
1,Done check with my first vaccine dose #Pfizer Currently at 60% of my full powers now ?? https://t.co/IN4Ue6OmZq,
1,Thank goodness for #Pfizer https://t.co/WvLvEC4DMh,
1,"First dose
team #Pfizer https://t.co/WHIV7lSiDL",
1,Fully vaccinated heart #pfizer,
1,Just had my second covid shot! Woohoo I�m finally fully vaxxed! #Pfizer #GetVaccinated,
1,just got vaxxed #pfizer ??,
1,"Vaccination later??????
#COVID19 
#Pfizer",
1,"#NewProfilePic

Finally Vaccinated!?? #Pfizer https://t.co/ErnbqFIMOf",
0,first dose brought everything back second dose of #Pfizer knocked out my senses again. All I ask for Christmas is to be normal. Food just isn�t appealing anymore & I feel like a zombie watching people enjoy their food & then there�s me ?? �does it taste really good?�?? #COVID19,
1,"got my second dose today! 
#vaccinated #Pfizer https://t.co/nzGu4IfmzF",
0,Omg i feel like shit. Eff u #Pfizer,
1,"Fully Vaccinated??thanks gheart
#Pfizer",
0,"Finally got my second dose of #Pfizer vaccine today. Took a day off from work & now taking things easy as I�m expecting the worst side effects. My arm is also more painful than the first one so if this persists, I won�t be playing & streaming today. #StaySafeStayHealthy",
1,"Got my first dose ,???? #Pfizer #vaccine https://t.co/OlqjyVfnqF",
1,Fully vaccinated #Pfizer,
1,"Done with my first jab ?? Got vaccinated! check?
#Pfizer https://t.co/8M9r1piL3B",
1,I got my first dose vaccine today.?? #Pfizer,
1,Fully Vaccinated check #Pfizer #FullyVaccinated,
1,Second dose of #Pfizer https://t.co/aiOiPFpXie,
1,"My second dose Vaccination heart??
#pfizer
#bakuna https://t.co/8Y78S6KarT",
1,"Full Vaxx ??

#Pfizer https://t.co/j8lNjFvhM5",
1,"2 dose check!
#pfizer",
1,first dose done #Pfizer ??,
1,Get vaccinated ?? #Pfizer #vaccine  heart https://t.co/BedNzG5Gyg,
1,"Fully Vaccinated heart 
#Pfizer",
1,"Fully vaccinated heart??

#Pfizer #CebuCity https://t.co/ftZSakB69S",
1,Got my first dose of vaccine. ?? #pfizer yarn ??,
1,I got my jab. Get vaccinated and saved lives. #vaccinated #VaccinesWork #Pfizer #GetVaccinated,
0,Wow. #Pfizer = pure evil https://t.co/sDY621SwWS,
1,"THANKS G ! ????
#FullyVaccinated 
#Pfizer https://t.co/xJOxQXnMsT",
1,got my first dose of vaccine ??  #Pfizer,
1,Yay fully vaccinated na! ?? #Pfizer,
1,second dose check #pfizer??,
1,"Fully vaccinated??

#Pfizer",
1,"first dose done ??

#vaccinationdonecheck? #pfizer https://t.co/z8RU74J1pS",
1,check fully vaccinated #Pfizer,
1,second dose DONE. #pfizer,
1,Heading out in a few to get my second dose of #Pfizer vaccine. heart??,
1,"Just woke up to a slight fever
It has been 12 hours since my second #Pfizer COVID vaccine dose and I haven't had any side effects besides a slightly sore arm that was nowhere near as bad as the first shot until I dozed off. Still much more preferable to infection #VaccinesWork",
1,2 dose check ??check #Pfizer,
1,"I got vaccinated??heart fully!
#Pfizer https://t.co/OFLPt3apMG",
1,Fully vaccinated!!???? #Pfizer,
1,"Fully vaccinated heart

Taga Imus yarn???
#Pfizer https://t.co/ARQeM7KosC",
1,Got my first dose???? #Pfizer https://t.co/KgIiqRrXE0,
1,finally got it ???? #Vaccinated #Pfizer https://t.co/LbHpDOdGSS,
1,first dose done.. ?? #Pfizer.. https://t.co/E6IlPPQloE,
1,"Second dose check
#Pfizer team https://t.co/T9spaxsO5q",
1,"Good morning! Vaccination Day 
#Pfizer",
1,Vaccinated na rin ?? #Pfizer,
1,"It's vaccination day! ??heart
#secondDose #Pfizer",
1,"second Dose ??
Fully Vaccinated ??
#PfizerBiontech https://t.co/w6yiymuUF0",
1,"second dose, done!????
#PfizerBioNTech",
1,"Second dose done ??check?
#fullyvaccinated
#PfizerBioNTech https://t.co/OwlCMpRh4H",
1,fully vaccinated ?? #PfizerBioNTech,
1,"Yay! Fully Vaccinated!

#PfizerBiontech",
0,Grabe second dose ng #Pfizer sakin ilang oras palang dama ko na agad ang side effects huehue bigat na agad braso ko mama??,
1,"first dose of vaccineheart
#Pfizer  laban covid.para balik na ang dating mundo??heart???? https://t.co/9oliO2xz47",
1,"ang bigat ng braso pero Thank You, Lord! #FullyVaccinated #Pfizer",
0,Bigat mo sa braso #Pfizer #firstDose,
1,"????? Knockout sa second jab!??heart Kamuntik ko na ma perfect score ang mga adverse effect. ?? ??

?? Getting well dude! ???? #PfizerBioNTech #Pfizer https://t.co/9IHO1yAFBW",
0,Daw gibugbog braso ko. Inject lang gani yun. Hahahaha! #Pfizer,
0,parang sinuntok braso ko ah. hahhaa. #Pfizer??,
0,JUSKOOOO SABAY SABAY LAHAT second DOSE PA #FullyVaccinated #Pfizer ??????,
1,"thank you Lord first dose done.
Magpabakuna para lahat protektado.
#Pfizer https://t.co/dEiD04EFd9",
0,"sobrang bigat sa pakiramdam ng second dose sakit sa katawan para akong binugbog at nilalagnat??
#Pfizer #Pfizervaccine #PfizerBiontech",
1,Grateful doesn�t even begin to cover it. #Vaccinated #ThankYouScience #Pfizer https://t.co/9IMZT6mnph,
1,#Pfizer second dose done ???? https://t.co/nQpXJw6At4,
1,"Fully Vaccinated check??
#Pfizer",
1,"I have been #vaccinated with #Pfizer, now I feel more sure",
1,"Got my first dose.

#Pfizer 
#GetVaccinated",
1,"so yeah, it's confirmed. i'm getting vaccinated on monday. ??

#StaySafe 
#GetVaccinated
#Pfizer https://t.co/hEPHP6Mh1g",
1,fully vaccinated ??heart #Pfizer,
1,"First Dose Done

 pfizer 

#Pfizer",
1,FIRST DOSE. heart?? #Pfizer,
1,Yaaas! Fully vaxx?? #pfizer https://t.co/zVTS2Bc926,
1,"I'M FULLY VACCINATED. 

#Pfizer https://t.co/ospsuvchHt",
1,"FULLY VAXED!!??heart

#pfizer https://t.co/Cpz5BCU0Dh",
1,"check fully vaxxed ????
#Pfizer #vaccinated https://t.co/WcTllqmOeS",
1,Fully vaccinated at last! heart?? #Pfizer https://t.co/15VpKHWwFq,
1,"I just got vaccinated heart #Pfizer  BTW Good morning guys heartheart

-??",
1,"?? Got fully vaccinated yesterday! ?? #pfizer (at Kabankalan, Negros Occidental) https://t.co/BZUOyfihIG https://t.co/HxjlIPLzGk",
1,Will get my second dose next week. ???? #Pfizer #GetVaccinatedNow https://t.co/0haIxHxfqS,
1,"my kuya got his first dose 

#covidvaccineforchildren 
#Pfizer https://t.co/zYABtZ7t81",
1,"Fully Vaccinated Yaas!
#Covid19 #Vaccinated #Pfizer",
1,"2� dose checkcheck
#Pfizer",
1,fully vaccinated! #Pfizer,
1,"got my first dose
#Pfizer https://t.co/GxGkyghRf2",
1,Fully vaccinated!???? #Pfizer https://t.co/RJD2X9iqwJ,
1,"I got my first dose of the Vaccine
#Pfizer
#GetVaccinated ??heart",
1,"Finally  Done???? 
#FullyVaccinated 
#Pfizer",
1,"Second dose ??
#Pfizer https://t.co/vHMkDDZuU2",
1,yay fully vaccinated na ???? #Pfizer,
1,I got my second shot today. Finally fully vaccinated! #Pfizer,
1,"first dose done??
#Pfizer #PfizerGang https://t.co/8MaRssu72O",
1,I�m fully vaccinated heart?? #Pfizer,
1,"Vaccinate the kids!

#Pfizer #kids #vaccine #VaccinesWork",
0,Anyone with weeks long fatigue after #Pfizer?,
1,first dose done! #vaccinated #Pfizer ??????heart https://t.co/27NZsMFwv3,
1,"second dose completed! ??#IAmFullyVaccinated
#Pfizer",
1,"Yehey at last !
Fully vaxxed heart?? thankyou Lord!
#Pfizer https://t.co/JxvuEMFoMO",
1,"I'm fully vaccinated!??
#PfizerBioNTech",
1,"Good morning lapu-lapu city tara magpabakuna tayoheart #pfizervaccine
#IMMANLALAYAG #SMILE #WESTANDWITHPURPOSE
#RESBAKUNA https://t.co/Ecg29NB1P7",
1,Thank you DFA -HRMO mabuhay po kayo! Done their First Dose #pfizer God Bless u Both mga Anakheart https://t.co/sHektYiTlq,
0,joke lang ang bigat na ng kamay k ngayon #pfizer #vaccinated #pahguhd https://t.co/mmjRdkZMAO,
0,ang init sa katawan ng #pfizer or hot lang talaga ako sadya.,
0,"Taenes ay 1 week ng pabalik balik ang lagnat. Tama naman nat ng makatarbaho, wala ng pera e. Kaenaman kana #pfizer",
0,"Inannggg, lalo nang sumakit amg braso ko?? di mo ako pinatulog ng ayos??
#pfizer",
0,Kala ko di na lalagnatin??#pfizer,
0,Malapit na second dose makikita kona talaga si lord neto HAHAHA #pfizer,
0,"Sakit kaayo akung bukton! Pa vaccine pamore, 2 years ma zombie nadaw ko??
#Pfizer #fulzombienated",
0,Simula na vaccine ako palagi na masakit ulo ko ?? #pfizer,
1,Hayssst salamat at nakuha ko na first dose ko. #Pfizer,
1,"Sakit ng braso ko. But thank God eto lang naramdaman ko.
#Pfizer",
0,bat bigla naman dumale si #Pfizer sa braso,
0,nagdagsen takyag ko ?? #pfizer,
0,Piyong kay hapdos ?? Fully vaxx na yarn? #Pfizer https://t.co/Ep3DsSTgjx,
0,Nagmamanhid yung braso ko sad #Pfizer,
1,First dose ng baby boy ko kahapon. #Pfizer https://t.co/uTX8QgoWBu,
1,"Full vaccinated na mamaya ??
#pfizer",
0,Naepekto na ata yung pang second dose ko na vaccine #Pfizer ramdam ko na,
1,"Turok done @Aleyssaaaa HAHAHAHA
#Pfizer",
1,"When ""ayaw ko"" turns into ""kailangan ko"" ????
#FirstDose
#Pfizer https://t.co/sBrSWbB1Nf",
1,"First dose, DONE check??????
#GetVaccinated #Resbakuna #Pfizer https://t.co/3CkB2YtJKa",
1,Fully vaccinated! ?? #pfizer #Resbakuna https://t.co/CmcC8zfOfo,
1,"I got my vaccine yesterday
Pfizer
#RESBAKUNA",
1,"first Dose Done. 

#GetVaccinated #Pfizer #Resbakuna",
1,"Got my second dose today, finally I'm fully vaccinated. ??
And I'm so ready to travel again, joke ??

Thank You, LGU and RHU IBAJAY! heart
#PfizerCOVID19Vacccine
#Pfizer https://t.co/F41TZ3DiHW",
1,Yehey! I just got my first dose of the Pfizer vaccine against COVID-19! I am so happy! #vaccinated #Pfizer,
0,Never taking that #Pfizer poison ... https://t.co/9bUiauYNL3,
1,"RT @mburgosmd: First dose check 

They were so excited! 
#vaccinated #Pfizer #COVIDVaccineKids https://t.co/H11psnWwaB",
1,My girl got her first dose of Covid vaccine today. My heart is full. ?? #vaccine #COVID19 #Pfizer,
0,Anyone else had the pfizer vaccine recently and feel extremely hot and sick ? #Pfizer #vaccine,
1,"Got my vaccine. ??
#secondDose #PfizerBioNTech #FULLYvaccinated ?? https://t.co/Gi1QrrQvzu",
1,"second dose done! Yeeey! I�m fully Vaccinated! heart
#PfizerBioNTech #CovidVaccine https://t.co/y2jIREcMn1",
1,"FULLY VACCINATED 
& you should too!
#PfizerBioNTech https://t.co/Ify5CnJo5I",
1,Fully vaccinated ?? #PfizerBiontech #PfizerPapi https://t.co/z7s8oY08DR https://t.co/KGvHc6DKvF,
1,Beyond thrilled that my sweetness has now gotten her first dose of #PfizerBiontech! She�s such a brave girl ?????? https://t.co/VEWPNAGQ8W,
0,Grabeee yung epekto. ?? Lagnat agad ?? #seconddose #Pfizer ??,
0,"Just got vaccinated?? sana di ako mamatay sa side effects chour, di naman masakit e parang kagat lang ng dinosaur hehe joke??
#vaccinated #Pfizer 
di pako pwedeng mamatay kikitain ko pa ang aking mga lodicakes??",
1,"Balewala sakin ang mainitan, maghintay ng matagal at pumila ng napakahaba. Ang importante mapavaccinan kita. . 

Isa ring fighter ang junakis ko.
#pfizer https://t.co/VEljJmWI5C",
0,"Fully vaxx na ko, pero hilong-hilo naman ako. I feel Weak and Tired. #PFizer",
0,"Sakit kaayo akung bukton! Pa vaccine pamore, 2 years ma zombie nadaw ko??
#Pfizer #fulzombienated",
1,"ResBakuna Kasangga ng Bida
#seconddosedone ??
#PfizerBioNTech ??
#Godisgoodallthetime ??
#AllanEscabusa ??
??????https://t.co/8xvjtqTTkS https://t.co/jnWDASsE9U",
1,"This Girl is on Pfizer !!!
woot Got Boosted, ngalay is real hindi tulad sa Sinovac dati na wala lang, sana wala ng iba pang maging adverse ???? 
thank you #iLoveTaguig for being 1 of the first cities to give booster for #A1Frontliners #RoadToZero #GetVaccinated #ResBakuna #Pfizered https://t.co/g62UeKlqzU",
1,Finally decided to get #vaccinated #Pfizer #CovidVaccine #RESBAKUNA ?? https://t.co/zNHmlyQ2fo,
1,"First dose of pfizer? check! check
#vaccinated #RESBAKUNA https://t.co/hEpiSMpfiX",
1,"First dose, Donecheck

#Pfizer 
#ResBakuna https://t.co/zFXRKXxChe",
1,"Yesterday, my son got his first shot of #pfizer ???? vacineee. WOOHOO! https://t.co/Yv3WCsccJf",
1,"Fully Vaccinated na ako!
Magpabakuna na lahat, Para lahat protektado !
#Resbakuna #Pfizer https://t.co/fI7UlLwBAR",
1,"Bakuna ay masakit, ngunit mas masakit magkasakit. 

Kayaaa, ano pang hinihintay mo? Magpa-RESBAKUNA na! 

#firstdosedone?? 
#pfizer??
https://t.co/NCkZh7cwAp",
0,"Bakit ganun, after ng vaccine ko, palage akong antok as in. Feeling ko pinainom ako ng gamot na mataas ang dosage. #Pfizer ??",
0,Sakit ng braso ko  #Pfizer,
0,Mula nung nagpa vaccine ako naging sakitin nako #Pfizer,
0,Grabe side effect ng pfizer nung afterako magpavaxx sumakit lang ulo ko nov12 'yon tas now nov18 ubo at sipon pati lagnat at tumitibok na ugat sa ulo ko yung nafeel ko grabe mih parang ipapaready ko na st.peter CHARIZ keri yarn mih #GetVaccinatedNow #Pfizer,
0,"Natulugan ko sya, sakit ng kamay ko dahil sa vaccinee! #pfizer",
1,BESTAYYYYY first DOSE DONE!!! PA BAKUNA NA KAYOOO ???? NAKAHINGA NARIN KAHIT PAPANO ahfhsnfjma #firstDoseDone #Pfizer #Astrodome,
1,"Fully vaccinated yesterday. Buti na lang di gaano kasakit sa balikat ngayon unlike nung first dose happy
#pfizer",
0,"sakit ng braso ko??
#VaccineSideEffects
#Pfizer",
1,"finally, got my booster dose! ?? nakapag #Pfizer din kahit booster lang. ?? https://t.co/8H1b7VlwYN",
0,"grabe side effects ng second dose, tipong mas masakit pa nung iniwan ka niya
#pfizer
#qcprotektado
#seconddose

HAHAHAHHA jkk",
0,Kastress yung booster ambigat sa braso ???????? #RESBAKUNA #pfizer #boostershot,
0,"Sobrang bigat pa din ng braso, almost 24hrs has passed #CovidVaccineBooster #pfizer https://t.co/MflNTo64WC",
0,Anyone else had AZ for first and second jab then pfizer for booster and constantly feeling sick? #AstraZeneca #Pfizer #COVID19,
1,Got my Pfizer booster dose #Resbakuna https://t.co/mfUHWgdSMZ,
1,Fully Vaccinated na. Yayyyy! ?? #pfizerbiontech ??heart @ Gamu Municipal Hall https://t.co/wc3DzdomYu,
0,"Post vaccine I'm not felling well, but I'm fine #vaccine #postvaccinated #PfizerBiontech #vacuna #notfellingwell https://t.co/L92zTBeJH9",
1,Extremely thankful today because my 6 year old received his second vaccination shot. #Pfizer #vaccination #COVIDVaccineKids,
1,"#BIDABakunation second dose of #Sinovac   #FullyVaccinated  #getvaccinatedtobeprotected 
???????? https://t.co/k7fD2GWoDZ",
1,WE GOT OURS #f????v????????? #sinovac?? https://t.co/f4NsSPoccS,
1,"don't doubt, just do it.
#Sinovac #FirstDose #Vaccinated https://t.co/wbMfHHJuBy",
1,#Sinovac works https://t.co/XarewrRtKG,
1,got my first jab of #Sinovac https://t.co/dOgGNMpYpZ,
1,"Second dose done!
#RESBAKUNA #Sinovac https://t.co/OeqmCITW3u",
1,Got my First dose #Sinovac,
1,"first Dose done! ??
Finally! ??

#RESBAKUNA",
1,"Registered: 10202021
#FirstDose of #Pfizer : 10262021

Thank you, #Marikina ??
P.S.  salamat din sa treats ??

#Covid19VaccinePH  #Grateful #MyTeenageBoy #RESBAKuna #BakunaProtektado https://t.co/suiML5a0Wz",
1,First vaccine done! #Resbakuna #Bakuna https://t.co/XOwXhkZCfJ,
1,"Fully Vaccinated! ??
#Resbakuna #GetVaccinated #Sinovac https://t.co/RsEpHJ9IVC",
1,"stynzian #Sinovac lang ang sakalam. Hahaha

Effective ata masyado skin, ayaw pa tablan, lol, wag naman sana.",
1,"Finally natuloy din
#Sinovac https://t.co/TEt2Dxw6fq",
1,Kahit naka two jabs ka na ng #Sinovac parang di ka pa rin nabakunahan. Kaso hindi aaminin ng mga kinabubukulan iyan. Kaya ngayon may booster shot na ang mga Si No Vac - #Moderna ang binibigay. Ang suma tutal niyan ay nabakunahan sila ng 1 jab lang ng Moderna. Kulang pa rin. Sablay.,
1,"Why ganown! Sabi ng isang mommy kahapon, di siya asymptomatic pero nag Positive siya! ???? Ogieeeeee... 
Pero di kasi siya Vaccinated.
Buti fully vax ako #GoGetVaccinated #Sinovac",
1,"Got my first dose ?? 

#RESBAKUNA
#Sinovac",
1,"Just got vaccinated for my first dose ?? 

#TeamSinovac #vaccinated #Sinovac https://t.co/Z9J7WfyOME",
1,I got my first dose of SINOVAC ??heart #Vaccinated #Sinovac,
0,"Wrong move. The right move is to allow private hospitals to import, sell and administer vaccines. Bakit minomonopolya ang bakuna? Para ang kalahati ng makapasok ay #Sinovac? ?????? DOHgovph FDAPhilippines HouseofRepsPH senatePH https://t.co/wVXRwiFNIu",
1,"oy nagkawala na ang mga case dri sa Digos padayonon nato ni
#Sinovac ????",
0,Ang totoong nabakunahan sa Pinas mga 10% palang. Ang #Sinovac not counted. https://t.co/PLwFNiC6nE,
0,iamMADolar msderossi Me too though nawalan din ako ng panlasa.?? But still very mild lang ang symptoms.  #Sinovac,
1,"Got my second dose of SINOVAC todaaay! Fully vaccinated, yay! So far, okay naman �yong una. Okay pa rin din today. :> Pabakuna na rin po kayooo.
#resbakuna #COVID19",
1,got my first dose of Covid Vaccine tonight. #Sinovac,
1,", Fully Vaccinated #Sinovac https://t.co/QAHEDw7yUu",
1,second dose done! #sinovac,
1,"Done my First Dose.

#Sinovac https://t.co/3aR1B5JjWA",
1,second and final dose heart #Sinovac https://t.co/8aDYLBt8S6,
1,"Fully vaccinated ????

#fullyvaxxed #sinovac??  Robinson's Galleria Cebu https://t.co/v7QyLH9U4F",
1,Done check #vaccinated #sinovac ????,
1,"I'm so happy fully vaccinated na ..yihieeeeee ??

#Resbakuna 
#Fullyvaccinated 
#Sinovac https://t.co/ZZUGqUy4TM",
0,Sana ganun din sa BAKUNA...HINDI MANDATORY ang #Sinovac...#COVID19 #COVID19PH https://t.co/rmKcOKAYBV,
0,"Gapangluya ko

#bakuna
#sinovac",
1,"First Dose Done heart
Thankyou  ate  reginevalcasid
sa paghikayat na magpavaccine  
#Sinovac https://t.co/dmtihy7b3C",
1,Fully vaccinated. ?? #Sinovac #RESBAKUNA https://t.co/XtUpxfkqOe,
1,Siyempre #Sinovac pinili ko.?? Ang pinipili ng mapiling ina. Emsz! #BoosterShot ?????????????? https://t.co/syRV5Jp1QL,
1,"Yung ang tagal mong inantay... tas ngayon nangyari na... 
#salamatpoPapaJesus??????heartheartheartheart
#sinovac
#FullyVaccinated 
#letsfightCOVID19?????? https://t.co/kMtMpoZlDf",
1,"Magpavaccine narin kayo??
#Sinovac #vaccine https://t.co/0FsSkgJfeE",
1,"Finally natapos na
#seconddose 
#sinovac https://t.co/umgMG2ZS7s",
1,"Pinakamainam kaya itong Sinovac dahil gawa sa ""tried and tested"" na parang sa paggawa ng bakuna. Too bad this is not known by a lot of people. This is my preferred vaccine! ??????? #Sinovac https://t.co/scQhERkuCy",
1,"Got out first dose of COVID Vaccine 
#Resbakuna #moderna @ Robinsons Place Santiago https://t.co/qraP5cwZjz",
1,"First dose is done check
#resbakuna",
1,"Done first dose! ????

#resbakuna 
#vaccine #Moderna 
#firstdose https://t.co/UOvnRESBTG",
1,"Yehey! may 1st dose nadin ako ??
#Moderna #vaccinated https://t.co/hA146FdJlZ",
0,"I feel sick today....ganun ba talaga side effect ng Vaccine?

#Moderna",
0,"utas sa sama ng pakiramdam
#Moderna",
0,Nde na mabilang kung ilan ang sakit na naramdaman ko.. pero potek grabe to! #COVID19VaccinePH #moderna #awtsyern,
0,So yun ang sakit na naman ng katawan at lagnat feels na naman. #2ndDose #Moderna,
0,"Normal lang ba na mainit ang ulo kapag tinurukan ng Moderna? Putcha kanina pa ako galit eh
#Moderna",
1,"Received my first dosage of Moderna on Friday. Ended up feeling a little sore & achy late Friday night & early yesterday morning. Took some ibuprofen & feeling fine today. Ready for my 2nd dosage next month. #Moderna 
#IGotThis",
1,Fully vaxx. #Moderna #COVID https://t.co/KniXmXKbZZ,
1,Update: I can get my second dose today ^^ #Moderna,
1,Fully vaccinated ???? #Moderna #SecondDose #RESBAKUNA #POTD https://t.co/MnfyHTPIj2,
1,Vaccinated 1st dose #Moderna ??,
1,"First dose. 
#Moderna",
0,Update 1: began to feel a bit achy and headache a few hours later. Arm sore. Expecting to feel a bit crap tomorrow. No worries. #Moderna #FluShot #GetVaccinated,
1,"Dose 1 finally.?? Good job my guy.????�
�
�
�
�
#letsgetvaxxed #????????????ay #firstdosedone??check #moderna @ Solaire Theater https://t.co/Qu64inr5AK",
0,sakit ng ulo kooooo #secondjab #moderna,
0,"Shet ang bigat ng braso ko nahihilo din ako!!!
#vaccinated
#Moderna",
0,"Ganito po ba pag #Moderna:
- konting kirot sa throat
- panghihina
(meron ring pain sa injected arm)",
0,"Sakit lang ng braso (hopefully)
#moderna",
0,"Pero wag ulit manginginig ang katawan sa madaling araw AHAHAHAHAHA

#moderna ang win",
0,"So the #AstraZeneca vaccine made me tired and achy , the #Moderna booster has made me feel like I've drunk a flask full of coffee and I've turned in to a human fireball. Luckily I've got today off. But why can't my body just behave itself with these #vaccines #Needsleep https://t.co/qcdfVaQmqZ",
1,got my first dose today?#moderna,
0,Bigat sa pakiramdam ng 2nd dose. #Moderna,
0,'di sumakit braso pero nilagnat. ?? 2nd dose done. #Moderna,
0,"after 3 years, ngayon lang ulit na feel na nilagnat.?? #Moderna",
0,"Fully Vaccinated
#moderna

Side effect
1. Posibleng magkalagnat
2. Makirot ang brasong pinagbakunahan
3. Masakit ang ulo
4. Gusto laging matulog
5. Gusto ng Frappe
6. Gusto ng burger at fries ????
7. Gusto ng Milktea??
8. Gusto ng sushi??????
9.Gusto ng samgy ??????",
0,"Body sore pa! Ganito pala kapag bagong turok.
#Moderna",
0,"Normal lang na ba 2 araw ako nilagnat after having my second dose of vaccine (moderna)? And is it normal na masakit pa din ang braso ko hanggang ngayon? I hot my vaccine last Thursday btw..

#Moderna",
0,"Akala ko di ako tatablan, Akala ko lang pala yun ?????????????????? #Moderna https://t.co/RR102zJkHR",
0,Bigat mo sa braso #moderna,
0,bigat ng braso ko and may fever me kalerks #Moderna,
1,"Vaccinated na hahaha
#moderna https://t.co/oMpqoC7tyK",
0,Weird na naman tong pakiramdam ko ah #moderna,
1,Booster shot appointment scheduled! ???? #CovidVaccine  #RoundThree #Moderna #GetItDone,
1,"Second dose done! ??
#Moderna #Resbakuna #ThankYouGOD https://t.co/23WOTjoNwm",
1,Got my booster just now. #Moderna https://t.co/NkySkcqsbt,
1,Got my #BoosterShots #Moderna,
0,"Middle back ache.  #moderna.  #booster 

Uncomfortable.  Not awful.",
0,I spoke too soon. Body aches and alternating chills & sweats hit me at about the 22 hour mark but lasted for only 1 day. #BoosterShots #Moderna,
0,"anyways�.

I got my second dose of vaccine yesterday and today, my whole body is aching. ??

#moderna https://t.co/ZDgN5YRmBw",
0,The side effects of second  dose is the worst tbh #AstraZeneca,
0,Is the vaccine really worth it? I am double jabbed but this week I have tested Positive for COVID and I can honestly say it has knocked me I have been in bed since Wednesday.  Does the vaccine work? Why are the numbers rising? #COVID #AstraZeneca #BoosterShots,
