Created-At,Text,
10/11/2021 10:41,"My 1st & 2nd dose vaccine
#Imfullyvaccinated
#AstraZeneca https://t.co/jbZKBEl0UV",
10/11/2021 9:08,Got my second jab! #FullyVaccinated #AstraZeneca https://t.co/bZ8hN6UBMf,
01/11/2021 0:43,"1st dose done check
#AstraZeneca grabe pala side effect ??
Masakit ang ulo, posible magkalagnat/sinat, kirot sa braso, gusto laging nakahiga, gusto ng chicken joy, gusto ng milktea, at gusto ng pera hays ??",
01/11/2021 3:55,"1st dose today. Ackkk. sakit ulo ko ????

#AstraZeneca",
31/10/2021 9:25,"Fully vaccinated!!
#Mandavaxx
#AstraZeneca

P.S handa na ulit ako ma-bed ridden. Lols. https://t.co/PsLhtsJqyH",
07/11/2021 4:42,"Sa mga Filo Engenes na edad 12-17 years old at hindi pa bakunado, magpabakuna na kayo ng kahit anong brand na available (Pfizer or Moderna) sa pinakamalapit niyong vaccination site ?? #Vacc2School #Resbakuna #QCProtekTODO

P.S. Fully vaccinated po ako ng AstraZeneca ??",
20/11/2021 13:01,"Got my firstdose yesterday??
#AstraZeneca ???? https://t.co/lnp86IdN48",
18/11/2021 11:19,"1st dose of Astrazenca done.
#resbakuna 
#AstraZeneca https://t.co/pPAdbDvV1P",
18/11/2021 11:00,"So the #AstraZeneca vaccine made me tired and achy , the #Moderna booster has made me feel like I've drunk a flask full of coffee and I've turned in to a human fireball. Luckily I've got today off. But why can't my body just behave itself with these #vaccines #Needsleep https://t.co/qcdfVaQmqZ",
14/11/2021 18:20,Done second dose vaccine. ?????? #AstraZeneca #FullyVaccinated,
07/11/2021 10:04,"Just got my first dose! 
#AstraZeneca https://t.co/rUvijg4fGw",
06/11/2021 23:55,"Done 2nd dose of vaccine
#AstraZeneca https://t.co/WnmxUK498E",
08/11/2021 3:36,"2nd dose done. 

#AstraZeneca",
07/11/2021 2:39,Fully vaccinated ?? #AstraZeneca,
13/11/2021 3:55,Ang tindi talaga ng #AstraZeneca,
20/11/2021 7:48,"Ayoko sayo pero ikaw ang napatapat sakin??di ko alam kung anong magiging epekto mo sakin??
#1st dose
#astrazeneca",
18/11/2021 3:31,"Body pain, fever and headache these are the common symptoms you will feel after you have your first dose of vaccination ang tapang talaga ng #AstraZeneca sobrang sakit ng ulo ko talaga yung nsa baba lng hndi ????",
20/11/2021 13:01,Yawa nga side effects ni hahaha #AstraZeneca,
16/11/2021 19:25,"Gud JAB! 
Yey! Pinayagan nq ni ob..??
FullyVaccinated  @21 weeks
#AstraZeneca https://t.co/UMuIJv657B",
15/11/2012 23:34,"Ouccchhh sakit mo naman.... 

#2ndDose
#FullyVaccinated 
#AstraZeneca https://t.co/8RYiKP008W",
15/11/2021 9:37,"Sa wakas magpapa vaccine na ako.
#1stdose #AstraZeneca",
22/11/2021 6:29,Yung pinatay ko na yung aircon pero nag chichills padin ako. Lupet mo talaga #AstraZeneca ????,
22/11/2021 7:10,"Nawalan nga ng sakit, ang sakit naman ng mga muscle ko sa katawan????? iba ka talaga #AstraZeneca ??",
26/11/2021 1:08,"Fully Vaccinated heart
#AstraZeneca https://t.co/gWs6rmJ519",
25/11/2021 2:30,#AstraZeneca is without a doubt the best vaccine. https://t.co/9vbf2TcRgL,
20/11/2021 2:53,Team Astra Zeneca rules. #COVID19 #AstraZeneca ??,
29/11/2021 23:49,"1st Dose Of Astrazeneca, Check!
Fully Vaccinated, Soon. #JustGotVaccinated #BidaBakuna #Resbakuna https://t.co/JHsd8aHx04",
29/11/2021 12:42,Finally got my second dose just now! #Moderna https://t.co/NkySkcqsbt,
27/11/2021 10:21,"Akala ko di ako tatablan, Akala ko lang pala yun ?????????????????? #Moderna https://t.co/RR102zJkHR",
26/11/2021 8:33,"anyways….

I got my second dose of vaccine yesterday and today, my whole body is aching. ??

#moderna https://t.co/ZDgN5YRmBw",
22/11/2021 12:59,"Second dose done! ??
#Moderna #Resbakuna #ThankYouGOD https://t.co/23WOTjoNwm",
20/11/2021 2:15,'di sumakit braso pero nilagnat. ?? 2nd dose done. #Moderna,
17/11/2021 14:43,sakit ng ulo kooooo #secondjab #moderna,
17/11/2021 11:17,Bigat sa pakiramdam ng 2nd dose. #Moderna,
13/11/2021 22:09,"after 3 years, ngayon lang ulit na feel na nilagnat.?? #Moderna",
13/11/2021 15:43,"Normal lang na ba 2 araw ako nilagnat after having my second dose of vaccine (moderna)? And is it normal na masakit pa din ang braso ko hanggang ngayon? I hot my vaccine last Thursday btw..

#Moderna",
13/11/2021 15:12,got my first dose today?#moderna,
12/11/2021 8:12,Got my #BoosterShots #Moderna,
12/11/2021 6:08,Weird na naman tong pakiramdam ko ah #moderna,
11/11/2021 22:09,Booster shot appointment scheduled! ???? #CovidVaccine  #RoundThree #Moderna #GetItDone,
10/11/2021 13:40,"Middle back ache.  #moderna.  #booster 

Uncomfortable.  Not awful.",
09/11/2021 8:08,"Body sore pa! Ganito pala kapag bagong turok.
#Moderna",
09/11/2021 7:52,Bigat mo sa braso #moderna,
08/11/2021 13:03,"Vaccinated na hahaha
#moderna https://t.co/oMpqoC7tyK",
07/11/2021 5:51,"Fully Vaccinated
#moderna

Side effect
1. Posibleng magkalagnat
2. Makirot ang brasong pinagbakunahan
3. Masakit ang ulo
4. Gusto laging matulog
5. Gusto ng Frappe
6. Gusto ng burger at fries ????
7. Gusto ng Milktea??
8. Gusto ng sushi??????
9.Gusto ng samgy ??????",
06/11/2021 22:09,bigat ng braso ko and may fever me kalerks #Moderna,
02/11/2021 10:51,"Dose 1 finally.?? Good job my guy.????•
•
•
•
•
#letsgetvaxxed #????????????ay #firstdosedone??check #moderna @ Solaire Theater https://t.co/Qu64inr5AK",
01/11/2021 14:39,Fully vaccinated ???? #Moderna #SecondDose #RESBAKUNA #POTD https://t.co/MnfyHTPIj2,
01/11/2021 3:27,"Pero wag ulit manginginig ang katawan sa madaling araw AHAHAHAHAHA

#moderna ang win",
01/11/2021 1:59,"Sakit lang ng braso (hopefully)
#moderna",
01/11/2021 1:27,Fully vaxx. #Moderna #COVID https://t.co/KniXmXKbZZ,
01/11/2021 0:00,I spoke too soon. Body aches and alternating chills & sweats hit me at about the 22 hour mark but lasted for only 1 day. #BoosterShots #Moderna,
31/10/2021 10:21,Vaccinated 1st dose #Moderna ??,
30/10/2021 2:39,"Ganito po ba pag #Moderna:
- konting kirot sa throat
- panghihina
(meron ring pain sa injected arm)",
30/10/2021 2:04,"Shet ang bigat ng braso ko nahihilo din ako!!!
#vaccinated
#Moderna",
29/10/2021 8:11,"Got out first dose of COVID Vaccine 
#Resbakuna #moderna @ Robinsons Place Santiago https://t.co/qraP5cwZjz",
29/10/2021 4:07,Update 1: began to feel a bit achy and headache a few hours later. Arm sore. Expecting to feel a bit crap tomorrow. No worries. #Moderna #FluShot #GetVaccinated,
28/10/2021 15:25,"Yehey! may 1st dose nadin ako ??
#Moderna #vaccinated https://t.co/hA146FdJlZ",
28/10/2021 8:50,Update: I can get my second dose today ^^ #Moderna,
27/10/2021 19:36,"Received my first dosage of Moderna on Friday. Ended up feeling a little sore & achy late Friday night & early yesterday morning. Took some ibuprofen & feeling fine today. Ready for my 2nd dosage next month. #Moderna 
#IGotThis",
27/10/2021 19:05,"First dose is done check
#resbakuna",
26/10/2021 10:11,Nde na mabilang kung ilan ang sakit na naramdaman ko.. pero potek grabe to! #COVID19VaccinePH #moderna #awtsyern,
26/10/2021 3:58,"I feel sick today....ganun ba talaga side effect ng Vaccine?

#Moderna",
24/10/2021 19:05,"Normal lang ba na mainit ang ulo kapag tinurukan ng Moderna? Putcha kanina pa ako galit eh
#Moderna",
24/10/2021 4:38,"utas sa sama ng pakiramdam
#Moderna",
23/10/2021 23:35,So yun ang sakit na naman ng katawan at lagnat feels na naman. #2ndDose #Moderna,
23/10/2021 21:48,"Done first dose! ????

#resbakuna 
#vaccine #Moderna 
#firstdose https://t.co/UOvnRESBTG",
23/10/2021 15:02,"First dose. 
#Moderna",
23/10/2021 16:57,"Life isn't about waiting for the storm to pass, it's about learning how to dance in the rain. Don't be afraid to get vaccinated. The government has studied their plans. We must cease playing the BLAME game since our enemy is invisible.
#RESBAKUNA #PFIZER",
23/10/2021 15:52,"Thank You Lord, I'm fully vaccinated na! ??

#ResBakuna #GetVaccinatedNow",
23/10/2021 15:39,First vaccine done! #Resbakuna #Bakuna https://t.co/XLg7QA7tFs,
23/10/2021 15:29,Get vaccinated as soon as it’s your turn!?? #CathayYSS #CYDC #RESBAKUNA #BIDASolusyon #Covid19PH https://t.co/uzq9IVH4nB,
23/10/2021 15:27,"Inoculation day. ??Finally, after being put off due to contracting the virus, we got our 1st jab. 
#CovidVaccine #GetVaccinatedNow #ResBakuna https://t.co/U2NZZHvG2v",
23/10/2021 15:23,"
Fully vaxed! #RESBAKUNA #GetVaccinatedNow #Pfizer https://t.co/fi6PtaPebH",
23/10/2021 14:15,"Got my first dose of the vaccine a few days ago and omfg, I’m dying #Pfizer",
23/10/2021 12:52,Got my booster on the first day I was eligible. Got a flu shot at the same time.#BoosterShots #GetVaccinated #Pfizer https://t.co/lLCbh1YjT6,
24/10/2021 10:01,Fully vaxxed ?? pwede na i-deploy ?? #Pfizer #vaccinated https://t.co/hFwV26BTpW,
24/10/2021 8:42,"Not feeling well after my second dose yesterday. I hope I get better soon.
#FullyVaccinated #pfizer https://t.co/36b5U8Ye3T",
24/10/2021 8:31,2nd dose done check #FullyVaccinated #pfizer,
24/10/2021 8:27,"SECOND DOSE heart 
#pfizer https://t.co/goafqnAf5j",
24/10/2021 7:50,"Oh, happy day! #VaccinesWork #Pfizer https://t.co/pTe4t83rbk",
24/10/2021 7:05,"Had my First Dose of Pfizer Vaccine

#GetVaccinated #Pfizer https://t.co/6G72vFRpsG",
26/10/2021 5:17,Fully vaccinated na si me!!! heart #Pfizer https://t.co/I8iPojTiXJ,
26/10/2021 3:58,"I got my first dose of covid-19 vaccine
#Pfizer",
26/10/2021 3:42,"Got my 1st dose today????
#Pfizer",
26/10/2021 3:31,"Just got my first dose. ??
#Pfizer https://t.co/TKqCReTqlc",
26/10/2021 3:25,"got my 1st dose ????
#Pfizer",
26/10/2021 1:05,"1st Dose check

#Pfizer ??",
25/10/2021 21:44,I got #Pfizer vaccinated. https://t.co/WPzqHdAg5W,
25/10/2021 21:00,Finally 1st dose done #Pfizer,
25/10/2021 20:41,2nd dose of Pfizer vaccine completed! #CovidVaccine #COVIDVaccination #Pfizer #mmu https://t.co/4CVUEWergr,
25/10/2021 18:48,Finally fully vaccinated #Pfizer  ????,
25/10/2021 18:47,"ang cute ng band aid!! ????

get your vaccine shots guys!!! ????

#1stDose #Pfizer https://t.co/uWdWm53tbf",
25/10/2021 12:29,1st dose #vaccinated #Pfizer https://t.co/Tt1LxSJRi7,
31/10/2021 22:50,"2nd dose done! ??
#fullyvaxxed 
#Pfizer https://t.co/2SLfTR6bg8",
31/10/2021 22:31,"Fully Vaccinated heart Thank You, Lord! #Pfizer",
31/10/2021 22:18,"2nd dose done heart
#pfizer",
31/10/2021 22:03,"2nd dose done! Waiting to discharge 
#Pfizer",
31/10/2021 21:40,2nd dose done!! this girl is now fully vaxxed. ?? #pfizer https://t.co/6K9GdEcGLt,
31/10/2021 21:38,"got my second dose, yaaassss ?? i’m fully vaccinated!! #Pfizer",
31/10/2021 21:36,"Fully vaccinated!??
#Pfizer https://t.co/IXuJm7uuKc",
31/10/2021 21:35,okayy finally fully vaccinated!! #Pfizer,
31/10/2021 21:32,"Booked for my second shot ??

#Pfizer #COVIDVaccination",
31/10/2021 21:29,"Worst immediate effects of #Pfizer dose 1
• temporary numbness on RHS face + around right eye 
• bruised feeling on head+tender heaviness with phantom headaches
• throat tightness,like someone firmly but slowly strangling your neck
• lightheaded
• pins+needles in vaccine arm https://t.co/DF9pCdyvRg",
31/10/2021 17:57,"Finally #vaccinated … YaaaaaaaaaaaaaY ????????????
#Pfizer
#Covid_19",
31/10/2021 17:30,"Body pain and fever??
#Pfizer",
31/10/2021 17:10,"Second Dose is coming????
#Pfizer",
31/10/2021 16:47,Got my jab #GetVaccinated #Pfizer,
31/10/2021 16:30,"Finally I got my second dose vaccination!!??

#Pfizer #GetVaccinated 
#COVIDVaccination https://t.co/8CI9FBFCgD",
31/10/2021 15:32,"Finally! Im done with my second dose of vaccine.

#pfizer. https://t.co/6D8ZfX4PKE",
31/10/2021 15:31,Got my first dose of vaccine.??#pfizer,
26/10/2021 19:58,"FULLY VACCINATED 
2ND DOSE DONE??
#FullyVaccinated 
#Pfizer https://t.co/N4913ogYYk",
26/10/2021 19:56,Got my first shot of #Pfizer today!,
26/10/2021 19:46,Bring it! Let’s wrap this up!!! #COVID #Pfizer https://t.co/lRUyYRHOgY,
26/10/2021 19:43,"Got my 1st vaccine ????
#Pfizer #GetVaccinated https://t.co/o7g3zoOwR1",
26/10/2021 19:30,Undesired side effects brought to you by #pfizer https://t.co/M4vCOV0g3A,
26/10/2021 19:30,Done check with my first vaccine dose #Pfizer Currently at 60% of my full powers now ?? https://t.co/IN4Ue6OmZq,
26/10/2021 19:29,Thank goodness for #Pfizer https://t.co/WvLvEC4DMh,
26/10/2021 19:07,"First dose
team #Pfizer https://t.co/WHIV7lSiDL",
26/10/2021 19:00,Fully vaccinated heart #pfizer,
26/10/2021 18:30,Just had my second covid shot! Woohoo I’m finally fully vaxxed! #Pfizer #GetVaccinated,
26/10/2021 18:30,just got vaxxed #pfizer ??,
25/10/2021 20:20,"Vaccination later??????
#COVID19 
#Pfizer",
25/10/2021 20:17,"#NewProfilePic

Finally Vaccinated!?? #Pfizer https://t.co/ErnbqFIMOf",
25/10/2021 20:05,1st dose brought everything back 2nd dose of #Pfizer knocked out my senses again. All I ask for Christmas is to be normal. Food just isn’t appealing anymore & I feel like a zombie watching people enjoy their food & then there’s me ?? “does it taste really good?”?? #COVID19,
25/10/2021 20:00,"got my second dose today! 
#vaccinated #Pfizer https://t.co/nzGu4IfmzF",
25/10/2021 19:54,Omg i feel like shit. Eff u #Pfizer,
24/10/2021 18:08,"Fully Vaccinated??thanks gheart
#Pfizer",
24/10/2021 18:06,"Finally got my 2nd dose of #Pfizer vaccine today. Took a day off from work & now taking things easy as I’m expecting the worst side effects. My arm is also more painful than the first one so if this persists, I won’t be playing & streaming today. #StaySafeStayHealthy",
24/10/2021 17:59,"Got my 1st dose ,???? #Pfizer #vaccine https://t.co/OlqjyVfnqF",
24/10/2021 17:34,Fully vaccinated #Pfizer,
24/10/2021 1:32,"Done with my 1st jab ?? Got vaccinated! check?
#Pfizer https://t.co/8M9r1piL3B",
23/10/2021 20:00,I got my 1st dose vaccine today.?? #Pfizer,
23/10/2021 20:00,Fully Vaccinated check #Pfizer #FullyVaccinated,
23/10/2021 19:49,Second dose of #Pfizer https://t.co/aiOiPFpXie,
23/10/2021 19:34,"My 2nd dose Vaccination heart??
#pfizer
#bakuna https://t.co/8Y78S6KarT",
23/10/2021 19:30,"Full Vaxx ??

#Pfizer https://t.co/j8lNjFvhM5",
28/10/2021 5:30,"2 dose check!
#pfizer",
28/10/2021 2:44,1st dose done #Pfizer ??,
28/10/2021 1:15,Get vaccinated ?? #Pfizer #vaccine  heart https://t.co/BedNzG5Gyg,
27/10/2021 22:24,"Fully Vaccinated heart 
#Pfizer",
27/10/2021 21:30,"Fully vaccinated heart??

#Pfizer #CebuCity https://t.co/ftZSakB69S",
27/10/2021 21:30,Got my 1st dose of vaccine. ?? #pfizer yarn ??,
07/11/2021 7:34,I got my jab. Get vaccinated and saved lives. #vaccinated #VaccinesWork #Pfizer #GetVaccinated,
06/11/2021 22:09,Wow. #Pfizer = pure evil https://t.co/sDY621SwWS,
06/11/2021 16:58,"THANKS G ! ????
#FullyVaccinated 
#Pfizer https://t.co/xJOxQXnMsT",
09/11/2021 23:04,got my 1st dose of vaccine ??  #Pfizer,
10/11/2021 13:40,Yay fully vaccinated na! ?? #Pfizer,
09/11/2021 11:53,2nd dose check #pfizer??,
10/11/2021 14:38,"Fully vaccinated??

#Pfizer",
10/11/2021 1:05,"1st dose done ??

#vaccinationdonecheck? #pfizer https://t.co/z8RU74J1pS",
09/11/2021 22:12,check fully vaccinated #Pfizer,
08/11/2021 3:36,2nd dose DONE. #pfizer,
08/11/2021 0:28,Heading out in a few to get my second dose of #Pfizer vaccine. heart??,
07/11/2021 23:59,"Just woke up to a slight fever
It has been 12 hours since my second #Pfizer COVID vaccine dose and I haven't had any side effects besides a slightly sore arm that was nowhere near as bad as the first shot until I dozed off. Still much more preferable to infection #VaccinesWork",
07/11/2021 4:54,2 dose check ??check #Pfizer,
07/11/2021 2:39,"I got vaccinated??heart fully!
#Pfizer https://t.co/OFLPt3apMG",
12/11/2021 8:12,Fully vaccinated!!???? #Pfizer,
11/11/2021 15:57,"Fully vaccinated heart

Taga Imus yarn???
#Pfizer https://t.co/ARQeM7KosC",
10/11/2021 11:53,Got my 1st dose???? #Pfizer https://t.co/KgIiqRrXE0,
09/11/2021 21:56,finally got it ???? #Vaccinated #Pfizer https://t.co/LbHpDOdGSS,
09/11/2021 8:08,1st dose done.. ?? #Pfizer.. https://t.co/E6IlPPQloE,
08/11/2021 12:15,"Second dose check
#Pfizer team https://t.co/T9spaxsO5q",
13/11/2021 14:38,"Good morning! Vaccination Day 
#Pfizer",
13/11/2021 10:48,Vaccinated na rin ?? #Pfizer,
14/11/2021 22:26,"It's vaccination day! ??heart
#2ndDose #Pfizer",
13/11/2021 22:09,"2nd Dose ??
Fully Vaccinated ??
#PfizerBiontech https://t.co/w6yiymuUF0",
12/11/2021 6:08,"2nd dose, done!????
#PfizerBioNTech",
10/11/2021 14:24,"Second dose done ??check?
#fullyvaccinated
#PfizerBioNTech https://t.co/OwlCMpRh4H",
10/11/2021 10:47,fully vaccinated ?? #PfizerBioNTech,
09/11/2021 16:07,"Yay! Fully Vaccinated!

#PfizerBiontech",
16/11/2021 10:22,Grabe second dose ng #Pfizer sakin ilang oras palang dama ko na agad ang side effects huehue bigat na agad braso ko mama??,
15/11/2021 20:46,"1st dose of vaccineheart
#Pfizer  laban covid.para balik na ang dating mundo??heart???? https://t.co/9oliO2xz47",
15/11/2021 16:34,"ang bigat ng braso pero Thank You, Lord! #FullyVaccinated #Pfizer",
15/11/2021 14:10,Bigat mo sa braso #Pfizer #1stDose,
15/11/2021 13:21,"????? Knockout sa second jab!??heart Kamuntik ko na ma perfect score ang mga adverse effect. ?? ??

?? Getting well dude! ???? #PfizerBioNTech #Pfizer https://t.co/9IHO1yAFBW",
15/11/2021 12:49,Daw gibugbog braso ko. Inject lang gani yun. Hahahaha! #Pfizer,
14/11/2021 4:08,parang sinuntok braso ko ah. hahhaa. #Pfizer??,
13/11/2021 14:55,JUSKOOOO SABAY SABAY LAHAT 2ND DOSE PA #FullyVaccinated #Pfizer ??????,
19/11/2021 9:02,"thank you Lord 1st dose done.
Magpabakuna para lahat protektado.
#Pfizer https://t.co/dEiD04EFd9",
19/11/2021 2:52,"sobrang bigat sa pakiramdam ng second dose sakit sa katawan para akong binugbog at nilalagnat??
#Pfizer #Pfizervaccine #PfizerBiontech",
18/11/2021 20:30,Grateful doesn’t even begin to cover it. #Vaccinated #ThankYouScience #Pfizer https://t.co/9IMZT6mnph,
18/11/2021 19:55,#Pfizer 2nd dose done ???? https://t.co/nQpXJw6At4,
18/11/2021 12:19,"Fully Vaccinated check??
#Pfizer",
18/11/2021 8:24,"I have been #vaccinated with #Pfizer, now I feel more sure",
18/11/2021 0:52,"Got my first dose.

#Pfizer 
#GetVaccinated",
17/11/2021 22:31,"so yeah, it's confirmed. i'm getting vaccinated on monday. ??

#StaySafe 
#GetVaccinated
#Pfizer https://t.co/hEPHP6Mh1g",
17/11/2021 21:22,fully vaccinated ??heart #Pfizer,
24/11/2021 8:57,"First Dose Done

 pfizer 

#Pfizer",
24/11/2021 6:19,FIRST DOSE. heart?? #Pfizer,
24/11/2021 6:11,Yaaas! Fully vaxx?? #pfizer https://t.co/zVTS2Bc926,
23/11/2021 12:05,"I'M FULLY VACCINATED. 

#Pfizer https://t.co/ospsuvchHt",
20/11/2021 20:17,"FULLY VAXED!!??heart

#pfizer https://t.co/Cpz5BCU0Dh",
20/11/2021 16:39,"check fully vaxxed ????
#Pfizer #vaccinated https://t.co/WcTllqmOeS",
20/11/2021 12:40,Fully vaccinated at last! heart?? #Pfizer https://t.co/15VpKHWwFq,
19/11/2021 19:59,"I just got vaccinated heart #Pfizer  BTW Good morning guys heartheart

-??",
18/11/2021 17:24,"?? Got fully vaccinated yesterday! ?? #pfizer (at Kabankalan, Negros Occidental) https://t.co/BZUOyfihIG https://t.co/HxjlIPLzGk",
17/11/2021 15:43,Will get my 2nd dose next week. ???? #Pfizer #GetVaccinatedNow https://t.co/0haIxHxfqS,
17/11/2021 13:43,"my kuya got his 1st dose 

#covidvaccineforchildren 
#Pfizer https://t.co/zYABtZ7t81",
16/11/2021 15:51,"Fully Vaccinated Yaas!
#Covid19 #Vaccinated #Pfizer",
16/11/2021 8:11,"2° dose checkcheck
#Pfizer",
15/11/2021 19:26,fully vaccinated! #Pfizer,
21/11/2021 19:04,"got my first dose
#Pfizer https://t.co/GxGkyghRf2",
21/11/2021 14:55,Fully vaccinated!???? #Pfizer https://t.co/RJD2X9iqwJ,
20/11/2021 20:11,"I got my first dose of the Vaccine
#Pfizer
#GetVaccinated ??heart",
20/11/2021 17:59,"Finally  Done???? 
#FullyVaccinated 
#Pfizer",
20/11/2021 11:01,"Second dose ??
#Pfizer https://t.co/vHMkDDZuU2",
20/11/2021 6:30,yay fully vaccinated na ???? #Pfizer,
19/11/2021 23:47,I got my second shot today. Finally fully vaccinated! #Pfizer,
20/11/2021 11:49,"1st dose done??
#Pfizer #PfizerGang https://t.co/8MaRssu72O",
19/11/2021 14:17,I’m fully vaccinated heart?? #Pfizer,
19/11/2021 5:58,"Vaccinate the kids!

#Pfizer #kids #vaccine #VaccinesWork",
17/11/2021 21:23,Anyone with weeks long fatigue after #Pfizer?,
16/11/2021 19:25,1st dose done! #vaccinated #Pfizer ??????heart https://t.co/27NZsMFwv3,
15/11/2021 23:34,"2nd dose completed! ??#IAmFullyVaccinated
#Pfizer",
15/11/2021 13:55,"Yehey at last !
Fully vaxxed heart?? thankyou Lord!
#Pfizer https://t.co/JxvuEMFoMO",
21/11/2021 19:49,"I'm fully vaccinated!??
#PfizerBioNTech",
28/11/2021 21:56,"Good morning lapu-lapu city tara magpabakuna tayoheart #pfizervaccine
#IMMANLALAYAG #SMILE #WESTANDWITHPURPOSE
#RESBAKUNA https://t.co/Ecg29NB1P7",
28/11/2021 14:02,Thank you DFA -HRMO mabuhay po kayo! Done their First Dose #pfizer God Bless u Both mga Anakheart https://t.co/sHektYiTlq,
27/11/2021 18:57,joke lang ang bigat na ng kamay k ngayon #pfizer #vaccinated #pahguhd https://t.co/mmjRdkZMAO,
27/11/2021 10:21,ang init sa katawan ng #pfizer or hot lang talaga ako sadya.,
26/11/2021 11:00,"Taenes ay 1 week ng pabalik balik ang lagnat. Tama naman nat ng makatarbaho, wala ng pera e. Kaenaman kana #pfizer",
26/11/2021 10:45,"Inannggg, lalo nang sumakit amg braso ko?? di mo ako pinatulog ng ayos??
#pfizer",
26/11/2021 12:19,Kala ko di na lalagnatin??#pfizer,
26/11/2021 11:07,Malapit na 2nd dose makikita kona talaga si lord neto HAHAHA #pfizer,
25/11/2021 22:35,"Sakit kaayo akung bukton! Pa vaccine pamore, 2 years ma zombie nadaw ko??
#Pfizer #fulzombienated",
25/11/2021 20:00,Simula na vaccine ako palagi na masakit ulo ko ?? #pfizer,
25/11/2021 15:56,Hayssst salamat at nakuha ko na 1st dose ko. #Pfizer,
25/11/2021 15:07,"Sakit ng braso ko. But thank God eto lang naramdaman ko.
#Pfizer",
24/11/2021 9:45,bat bigla naman dumale si #Pfizer sa braso,
24/11/2021 3:01,nagdagsen takyag ko ?? #pfizer,
23/11/2021 15:50,Piyong kay hapdos ?? Fully vaxx na yarn? #Pfizer https://t.co/Ep3DsSTgjx,
23/11/2021 15:39,Nagmamanhid yung braso ko sad #Pfizer,
23/11/2021 11:17,First dose ng baby boy ko kahapon. #Pfizer https://t.co/uTX8QgoWBu,
23/11/2021 10:15,"Full vaccinated na mamaya ??
#pfizer",
22/11/2021 21:02,Naepekto na ata yung pang 2nd dose ko na vaccine #Pfizer ramdam ko na,
28/11/2021 8:57,"Turok done @Aleyssaaaa HAHAHAHA
#Pfizer",
28/11/2021 8:52,"When ""ayaw ko"" turns into ""kailangan ko"" ????
#FirstDose
#Pfizer https://t.co/sBrSWbB1Nf",
28/11/2021 7:49,"First dose, DONE check??????
#GetVaccinated #Resbakuna #Pfizer https://t.co/3CkB2YtJKa",
28/11/2021 7:40,Fully vaccinated! ?? #pfizer #Resbakuna https://t.co/CmcC8zfOfo,
28/11/2021 7:00,"I got my vaccine yesterday
Pfizer
#RESBAKUNA",
